Date,City,Dept,Product,Sale,Prediction,Type,,Difference
09-01-2013,C,Footwear Mens,17295,1,1,History,,0
09-01-2013,A,Footwear Mens,17298,0,0,History,,0
09-01-2013,C,Footwear Mens,17298,1,0,History,,1
09-01-2013,A,Home Furnishing,17514,7,5,History,,2
09-01-2013,C,Home Furnishing,17514,7,5,History,,2
09-01-2013,A,Home Furnishing,17515,3,2,History,,1
09-01-2013,C,Home Furnishing,17515,0,2,History,,-2
09-01-2013,A,Home Furnishing,17516,1,3,History,,-2
09-01-2013,C,Home Furnishing,17516,0,2,History,,-2
09-01-2013,A,Home Furnishing,17517,0,0,History,,0
09-01-2013,C,Home Furnishing,17517,0,0,History,,0
09-01-2013,A,Home Furnishing,17518,6,7,History,,-1
09-01-2013,C,Home Furnishing,17518,3,3,History,,0
09-01-2013,A,Home Furnishing,243,0,0,History,,0
09-01-2013,C,Home Furnishing,243,0,0,History,,0
09-01-2013,A,Infant W-Wear,13245,0,0,History,,0
09-01-2013,C,Infant W-Wear,13245,0,1,History,,-1
09-01-2013,A,Infant W-Wear,13246,0,0,History,,0
09-01-2013,C,Infant W-Wear,13246,0,0,History,,0
09-01-2013,A,Infant W-Wear,13248,0,0,History,,0
09-01-2013,A,Infant W-Wear,26947,0,0,History,,0
09-01-2013,C,Infant W-Wear,26947,0,0,History,,0
09-01-2013,A,Ladies Lower,15663,7,4,History,,3
09-01-2013,C,Ladies Lower,15663,0,1,History,,-1
09-01-2013,A,Ladies Lower,15664,13,16,History,,-3
09-01-2013,C,Ladies Lower,15664,2,2,History,,0
09-01-2013,A,Ladies Lower,15665,0,0,History,,0
09-01-2013,C,Ladies Lower,15665,0,0,History,,0
09-01-2013,A,Ladies Lower,15666,3,3,History,,0
09-01-2013,C,Ladies Lower,15666,0,0,History,,0
09-01-2013,A,Ladies Lower,15667,5,6,History,,-1
09-01-2013,C,Ladies Lower,15667,3,4,History,,-1
09-01-2013,A,Ladies Lower,18108,1,0,History,,1
09-01-2013,C,Ladies Lower,18108,0,0,History,,0
09-01-2013,A,Ladies Lower,44,1,1,History,,0
09-01-2013,C,Ladies Lower,44,0,0,History,,0
09-01-2013,A,Ladies Upper,2871,88,33,History,,55
09-01-2013,C,Ladies Upper,2871,32,21,History,,11
09-01-2013,A,Ladies Upper,2875,109,98,History,,11
09-01-2013,C,Ladies Upper,2875,13,22,History,,-9
09-01-2013,A,Ladies Upper,2876,12,6,History,,6
09-01-2013,C,Ladies Upper,2876,4,3,History,,1
09-01-2013,A,Ladies Upper,2877,11,11,History,,0
09-01-2013,C,Ladies Upper,2877,3,4,History,,-1
09-01-2013,A,Ladies Upper,2878,30,53,History,,-23
09-01-2013,C,Ladies Upper,2878,11,21,History,,-10
09-01-2013,A,Ladies Upper,2880,0,0,History,,0
09-01-2013,A,Mens Lower,15350,4,8,History,,-4
09-01-2013,C,Mens Lower,15350,1,3,History,,-2
09-01-2013,A,Mens Lower,15352,6,6,History,,0
09-01-2013,C,Mens Lower,15352,8,23,History,,-15
09-01-2013,A,Mens Lower,15353,6,4,History,,2
09-01-2013,C,Mens Lower,15353,12,9,History,,3
09-01-2013,A,Mens Lower,15355,4,6,History,,-2
09-01-2013,C,Mens Lower,15355,4,6,History,,-2
09-01-2013,A,Mens Lower,15356,8,4,History,,4
09-01-2013,C,Mens Lower,15356,5,12,History,,-7
09-01-2013,A,Mens Lower,15357,5,0,History,,5
09-01-2013,C,Mens Lower,15357,3,1,History,,2
09-01-2013,A,Mens Lower,25943,6,9,History,,-3
09-01-2013,C,Mens Lower,25943,9,14,History,,-5
09-01-2013,A,Mens Lower,52,3,3,History,,0
09-01-2013,C,Mens Lower,52,5,1,History,,4
09-01-2013,A,Mens Upper,20,2,1,History,,1
09-01-2013,A,Mens Upper,2885,1,0,History,,1
09-01-2013,C,Mens Upper,2885,0,0,History,,0
09-01-2013,A,Mens Upper,2886,4,2,History,,2
09-01-2013,C,Mens Upper,2886,3,1,History,,2
09-01-2013,A,Mens Upper,2887,2,0,History,,2
09-01-2013,C,Mens Upper,2887,0,1,History,,-1
09-01-2013,A,Mens Upper,19453,0,0,History,,0
09-01-2013,C,Mens Upper,19453,0,0,History,,0
09-01-2013,A,Mens Upper,2598,17,24,History,,-7
09-01-2013,C,Mens Upper,2598,27,11,History,,16
09-01-2013,A,Mens Upper,2599,25,20,History,,5
09-01-2013,C,Mens Upper,2599,19,19,History,,0
09-01-2013,A,Mens Upper,2600,2,0,History,,2
